Key,English,Filipino
QUEST_DESTINATION_0056,Bring it to Chairman of History Society Gothante.,"Ihatid ito kay Gothante, ang Chairman ng History Society."
QUEST_DESTINATION_0057,Bring it to Manager of Ancient Document Rovanett,"Ihatid ito kay Rovanett, ang Manager ng Ancient Document."
QUEST_DESTINATION_0058,Bring it to Great Magician Laola,"Ihatid ito kay Laola, ang Great Magician."
QUEST_DESTINATION_0059,Bring it to Historian Martinyc,"Ihatid ito kay Martinyc, ang Historian."
QUEST_DESTINATION_0060,Bring it to Mercenary Instructor Hyuit,"Ihatid ito kay Hyuit, ang Mercenary Instructor."
QUEST_DESTINATION_0061,Kill Small Mushpang,Patayin ang Small Mushpang.
QUEST_DESTINATION_0062,Bring it to Assist Instructor Kidmen,Ihatid ito kay Assist Instructor Kidmen.
QUEST_DESTINATION_0063,Bring it to Hachal in Flarine,Ihatid ito kay Hachal sa Flarine.
QUEST_DESTINATION_0064,Bring it to Hachal in Darkon,Ihatid ito kay Hachal sa Darkon.
QUEST_DESTINATION_0066,Receive mail from Rankashu who is standing in front of Dekane Mine,Tanggapin ang sulat mula kay Rankashu na nakatayo sa harap ng Dekane Mine.
QUEST_DESTINATION_0067,Drian exists in the first room,Nasa unang silid si Drian.
QUEST_DESTINATION_0068,Kill keakoon in the third room and obtain key.,Patayin ang keakoon sa ikatlong silid at kunin ang susi.
QUEST_DESTINATION_0069,Move to the third room and check a cell where Nevil is locked.,Pumunta sa ikatlong silid at tingnan ang selda kung saan nakakulong si Nevil.
QUEST_DESTINATION_0070,Kill Elite Keakoon Guard Leaders in the third room.,Patayin ang mga Elite Keakoon Guard Leaders sa ikatlong silid.
QUEST_DESTINATION_0071,Talk with Nevin in prison,Kausapin si Nevin sa bilangguan.
QUEST_DESTINATION_0072,Break Roach egg in fifth room and obtain 15 Pink Roach Fluids,Basagin ang Roach egg sa ikalimang silid at kunin ang 15 Pink Roach Fluids.
QUEST_DESTINATION_0073,Break Roach egg in fourth room and obtain 15 Blue Roach Fluids,Basagin ang Roach egg sa ikaapat na silid at kunin ang 15 Blue Roach Fluids.
QUEST_DESTINATION_0074,Break Roach egg in fifth room and obtain 1 Pink Roach Queen Fluid,Basagin ang Roach egg sa ikalimang silid at kunin ang 1 Pink Roach Queen Fluid.
QUEST_DESTINATION_0075,Break Roach egg in fourth room and obtain 1 Blue Roach Queen Fluid,Basagin ang Roach egg sa ikaapat na silid at kunin ang 1 Blue Roach Queen Fluid.
QUEST_DESTINATION_0076,Obtain 30 Cillins nearby,Kunin ang 30 Cillins na malapit.
QUEST_DESTINATION_0077,Meet Kazen,Kausapin si Kazen.
QUEST_DESTINATION_0078,Move to where Kazen is and kill Green Trillipy. Then obtain 30 Ribenuums,"Pumunta sa kinaroroonan ni Kazen at patayin ang Green Trillipy. Pagkatapos, kunin ang 30 Ribenuums."
QUEST_DESTINATION_0079,You can find Nein in Dead Waldernis of Darkon 3 and do 'Finding Tridum'. Then collect 10 Ribenuums,"Makikita mo si Nein sa Dead Waldernis ng Darkon 3 at gawin ang 'Finding Tridum'. Pagkatapos, kolektahin ang 10 Ribenuums."
QUEST_DESTINATION_0080,"Speak with Cell in Darkon 1 and do 'Trace of ID card'. After getting a key, you can obtain 20 Tridum.","Kausapin si Cell sa Darkon 1 at gawin ang 'Trace of ID card'. Pagkatapos mong makuha ang susi, maaari kang makakuha ng 20 Tridum."
QUEST_DESTINATION_0081,Bring Ribenuum to Nein,Ihatid ang Ribenuum kay Nein.
QUEST_DESTINATION_0082,You can see Mutant Fefern and Mutant Nyangnyang Queen nearby.,Makikita mo ang Mutant Fefern at Mutant Nyangnyang Queen malapit lang.
QUEST_DESTINATION_0083,Kill Vice Veduque living in the last room of Mars dungeon.,Patayin ang Vice Veduque na nakatira sa huling silid ng Mars dungeon.
QUEST_DESTINATION_0084,It exists in Iblis and revelation can be found in the last room on left.,Nasa Iblis ito at makikita ang revelation sa huling silid sa kaliwa.
QUEST_DESTINATION_0085,Kill 8 Iblis Crashers in the Iblis Temple.,Patayin ang 8 Iblis Crashers sa Iblis Temple.
QUEST_DESTINATION_0086,Kill an Iblis Guardian in the Iblis Temple.,Patayin ang isang Iblis Guardian sa Iblis Temple.
QUEST_DESTINATION_0087,Obtain the Pattern by Killing an Iblis Guardian.,Makakuha ng Pattern sa pamamagitan ng pagpatay sa isang Iblis Guardian.
QUEST_DESTINATION_0091,Please purchase a Long Sword from [Shield] Luda.,Bumili ng Long Sword kay [Shield] Luda.
QUEST_DESTINATION_0093,"After speaking with Drian, obtain a pouch.","Matapos makausap si Drian, kunin ang pouch."
QUEST_DESTINATION_0094,A group of Organigor exists nearby.,May grupo ng Organigor malapit dito.
QUEST_DESTINATION_0095,A group of Gangard exists nearby.,May grupo ng Gangard malapit dito.
QUEST_DESTINATION_0096,A group of Hadeseor exists nearby.,May grupo ng Hadeseor malapit dito.
QUEST_DESTINATION_1000,Radion gave you this Fragment of Memories.,Binigay sa'yo ni Radion ang Fragment of Memories.
QUEST_DESTINATION_1001,Reodos gave you this Elemental Hero's Pendant.,Binigay sa'yo ni Reodos ang Elemental Hero's Pendant.
QUEST_DESTINATION_1002,Zoro gave you this letter.,Binigay sa'yo ni Zoro ang sulat na ito.
QUEST_DESTINATION_1003,Bring this Letter to Zoro.,Ihatid ang sulat na ito kay Zoro.
QUEST_DESTINATION_1004,You got this Promise Ring from the Garbagespiders.,Nakuha mo ang Promise Ring mula sa Garbagespiders.
QUEST_DESTINATION_1005,Bring this Letter to Dior.,Ihatid ang sulat na ito kay Dior.
QUEST_DESTINATION_1006,Bring this Hero's Pendant to Reonan.,Ihatid ang Hero's Pendant na ito kay Reonan.
QUEST_DESTINATION_1007,You got this Hero's Pendant from the Bearnerkys.,Nakuha mo ang Hero's Pendant na ito mula sa Bearnerkys.
QUEST_DESTINATION_1008,Bring this Agony Ore to Ainher.,Ihatid ang Agony Ore na ito kay Ainher.
QUEST_DESTINATION_1009,Symbols of Shade drop from Violet masquerpets with a level close to yours.,Ang Symbols of Shade ay bumabagsak mula sa Violet masquerpets na may antas na malapit sa iyo.
QUEST_DESTINATION_1010,Collect Erons from Erons Catchers.,Kolektahin ang Erons mula sa Erons Catchers.
QUEST_DESTINATION_1011,Collect Krasec from Krasec Catchers.,Kolektahin ang Krasec mula sa Krasec Catchers.
QUEST_DESTINATION_1012,Collect Mineral from Mineral Catchers.,Kolektahin ang Mineral mula sa Mineral Catchers.
QUEST_DESTINATION_1013,Collect Guru from Guru Catchers.,Kolektahin ang Guru mula sa Guru Catchers.
QUEST_DESTINATION_1014,Give the Smelted Steels to Chenbing.,Ibigay ang Smelted Steels kay Chenbing.
QUEST_DESTINATION_1015,Give the Metallurgical Bull Ring to Colack.,Ibigay ang Metallurgical Bull Ring kay Colack.
QUEST_DESTINATION_1016,Give the Supercharged Lightning Rod to Gothante.,Ibigay ang Supercharged Lightning Rod kay Gothante.
QUEST_DESTINATION_1017,Collect $QUEST_END_ITEM_NAME$ from final dungeon bosses.,Kolektahin ang $QUEST_END_ITEM_NAME$ mula sa mga huling boss ng dungeon.
QUEST_DESTINATION_1018,Give the Elixir of Cleansing to Hael.,Ibigay ang Elixir ng Paglilinis kay Hael.
QUEST_DESTINATION_1019,Collect Ultima from giants and treasure chests.,Kolektahin ang Ultima mula sa mga higante at sa mga baul ng kayamanan.
QUEST_DESTINATION_1020,Kill %s Prismatic Cobras and Water Totem Pole,Patayin ang %s Prismatic Cobras at ang Water Totem Pole.
QUEST_DESTINATION_1021,Kill %s Twinstrike Cobras and Wind Totem Pole,Patayin ang %s Twinstrike Cobras at ang Wind Totem Pole.
QUEST_DESTINATION_1022,Kill %s Tanuki Enforcers and Earth Totem Pole,Patayin ang %s Tanuki Enforcers at ang Earth Totem Pole.
QUEST_DESTINATION_1023,Kill %s Wildwood Stalkers and Fire Totem Pole,Patayin ang %s Wildwood Stalkers at ang Fire Totem Pole.
QUEST_DESTINATION_1024,"Kill Kriton, the Shade's right hand living deep inside Herneos.","Patayin si Kriton, ang kanang kamay ng Shade na naninirahan sa kailaliman ng Herneos."
QUEST_DESTINATION_1025,Kill 150 Dreadfins in the Herneos Dungeon.,Patayin ang 150 Dreadfins sa dungeon ng Herneos.
QUEST_DESTINATION_1026,Kill 150 Dreadscales in the Herneos Dungeon.,Patayin ang 150 Dreadscales sa dungeon ng Herneos.
QUEST_DESTINATION_1027,Kill 150 Luminfins in the Herneos Dungeon.,Patayin ang 150 Luminfins sa dungeon ng Herneos.
QUEST_DESTINATION_1028,Obtained by talking to Dr. Estly.,Makukuha sa pakikipag-usap kay Dr. Estly.
QUEST_DESTINATION_1029,Obtained by killing Dreadfins in the Herneos Dungeon.,Makukuha sa pagpatay ng mga Dreadfins sa dungeon ng Herneos.
QUEST_DESTINATION_1030,Obtained by killing Dreadscales in the Herneos Dungeon.,Makukuha sa pagpatay ng mga Dreadscales sa dungeon ng Herneos.
QUEST_DESTINATION_1031,Obtained by killing Luminfins in the Herneos Dungeon.,Makukuha sa pagpatay ng mga Luminfins sa dungeon ng Herneos.
QUEST_DESTINATION_1032,"Kill [Depths Guardian] Bunyip, the Shade's General living deep inside Herneos.","Patayin ang [Depths Guardian] Bunyip, ang Heneral ng Shade na naninirahan sa kailaliman ng Herneos."
QUEST_DESTINATION_1033,"Kill [Depths Queen] Nereid, the Shade's General living deep inside Herneos.","Patayin ang [Depths Queen] Nereid, ang Heneral ng Shade na naninirahan sa kailaliman ng Herneos."
QUEST_DESTINATION_1034,The lost treasure of Herneos should be easy to find inside Herneos.,Dapat madaling makita ang nawalang kayamanan ng Herneos sa loob ng Herneos.
QUEST_DESTINATION_1035,You should be able to find one by exploring the Herneos dungeon.,Dapat mong makita ang isa habang ini-explore mo ang dungeon ng Herneos.
QUEST_DESTINATION_1036,Bring it to Gergantes.,Ihatid ito kay Gergantes.
QUEST_DESTINATION_1037,Kill %s more [Twisted Soul] Orcus to spawn an hidden chest,Patayin pa ng %s [Twisted Soul] Orcus para lumitaw ang isang nakatagong baul.
QUEST_DESTINATION_1038,Kill %s more [Tormented Soul] Nergal to spawn the Mysterious Adventurer,Patayin pa ng %s [Tormented Soul] Nergal para lumabas ang Mysterious Adventurer.
QUEST_DESTINATION_1039,Kill %s more [Demonic Soul] Hel to spawn an hidden chests,Patayin pa ng %s [Demonic Soul] Hel para lumitaw ang mga nakatagong baul.
QUEST_DESTINATION_1040,Kill %s more [Perverted Soul] Morrigan to spawn the Mysterious Adventurer,Patayin pa ng %s [Perverted Soul] Morrigan para lumabas ang Mysterious Adventurer.
QUEST_DESTINATION_1041,Kill %s more [Anguished Soul] Mara to spawn an hidden chest,Patayin pa ng %s [Anguished Soul] Mara para lumitaw ang isang nakatagong baul.
QUEST_DESTINATION_1042,Kill %s more [Violent Soul] Ghed to spawn an hidden chest,Patayin pa ng %s [Violent Soul] Ghed para lumitaw ang isang nakatagong baul.
QUEST_DESTINATION_1043,Defeat %s Dungeon Final Boss,Talunin ang huling boss ng dungeon na %s.
QUEST_DESTINATION_1044,You received Master's letter of introduction from the previous quest.,Natanggap mo ang liham ng pagpapakilala ng Master mula sa naunang quest.
QUEST_DESTINATION_1045,You received Fragment of a Fallen Ship from the Mayor of Flarine.,Natanggap mo ang Fragment of a Fallen Ship mula sa Alkalde ng Flarine.
QUEST_DESTINATION_1046,You received Translated Lycan Operation Plan from [Captain] Baron.,Natanggap mo ang Translated Lycan Operation Plan mula kay [Captain] Baron.
QUEST_DESTINATION_1047,You received All about Muran! from [Elder] Melak.,Natanggap mo ang All about Muran! mula kay [Elder] Melak.
QUEST_DESTINATION_1048,You collected Lycan Orders during the previous quest.,Nakolekta mo ang Lycan Orders noong naunang quest.
QUEST_DESTINATION_1049,You collected Torn Scroll during the previous quest.,Nakolekta mo ang Torn Scroll noong naunang quest.
